name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,uniId,id
Ghi tài liệu về Singleton và Observer,MINOR,<p>Viết tài liệu giải thích cách sử dụng Singleton và Observer Pattern trong hệ thống.</p>,2025-03-11,2025-03-15,sprint4-project1,TODO,THEORY,Document,21130416,21130319,Tóm tắt Pattern - Ví dụ áp dụng,LOW,00bf93d6-7893-481b-b3a6-7536a788f22d,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Thiết kế Factory Method cho tạo loại sản phẩm,MAJOR,"<p>Hiện thực Factory Method Pattern để tạo các loại sản phẩm khác nhau (ví dụ: hàng điện tử, quần áo, sách).</p>",2025-03-16,2025-03-22,sprint5-project1,TODO,PRACTICE,"OOP,Java",21130319,21130320,Thiết kế Creator - Hiện thực Concrete Creator,HIGH,1d95edd7-9ceb-4e2c-af16-35735c0d39e8,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Nghiên cứu Abstract Factory Pattern,MAJOR,<p>Tìm hiểu về Abstract Factory Pattern và khả năng áp dụng để tạo các bộ đối tượng liên quan (ví dụ: bộ giao diện cho admin/khách hàng).</p>,2025-03-17,2025-03-21,sprint5-project1,TODO,THEORY,OOP,21130320,21130416,Đọc tài liệu - Phân tích ví dụ,MEDIUM,1d95edd7-9ceb-4e2c-af16-35735c0d39e8,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Ghi tài liệu Factory Method,MINOR,<p>Viết mô tả cách Factory Method Pattern được sử dụng để tạo đối tượng sản phẩm.</p>,2025-03-18,2025-03-22,sprint5-project1,TODO,THEORY,Document,21130416,21130319,Giải thích Pattern - Minh họa code,LOW,1d95edd7-9ceb-4e2c-af16-35735c0d39e8,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Hiện thực Decorator Pattern cho thuộc tính sản phẩm,MAJOR,"<p>Áp dụng Decorator Pattern để thêm các thuộc tính bổ sung vào sản phẩm (ví dụ: đóng gói quà tặng, bảo hành mở rộng).</p>",2025-03-23,2025-03-29,sprint6-project1,TODO,PRACTICE,"OOP,Java",21130319,21130320,Thiết kế Component - Hiện thực Decorator,HIGH,4d8b7804-ba53-497d-8f69-3ecbe2ba6c05,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Hiện thực Iterator Pattern cho duyệt đơn hàng,MAJOR,<p>Sử dụng Iterator Pattern để duyệt qua danh sách các đơn hàng trong hệ thống.</p>,2025-03-24,2025-03-28,sprint6-project1,TODO,PRACTICE,"OOP,Java",21130320,21130416,Thiết kế Iterator - Hiện thực Aggregate,HIGH,4d8b7804-ba53-497d-8f69-3ecbe2ba6c05,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Ghi tài liệu Decorator và Iterator,MINOR,<p>Tài liệu hóa việc áp dụng Decorator và Iterator Pattern trong dự án.</p>,2025-03-25,2025-03-29,sprint6-project1,TODO,THEORY,Document,21130416,21130319,Mô tả cách dùng - Ví dụ code,LOW,4d8b7804-ba53-497d-8f69-3ecbe2ba6c05,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Thiết kế Template Method cho quy trình xử lý đơn hàng,MAJOR,"<p>Áp dụng Template Method Pattern để định nghĩa quy trình xử lý đơn hàng với các bước có thể thay đổi (ví dụ: xác nhận, đóng gói, giao hàng).</p>",2025-03-30,2025-04-05,sprint7-project1,TODO,PRACTICE,"OOP,Java",21130319,21130320,Thiết kế Abstract Class - Hiện thực Concrete Class,HIGH,fca63275-f3b3-4839-b287-a8b7474dd393,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Nghiên cứu Visitor Pattern cho báo cáo doanh thu,MAJOR,"<p>Tìm hiểu về Visitor Pattern và cách sử dụng nó để tạo các loại báo cáo doanh thu khác nhau (ví dụ: theo sản phẩm, theo khách hàng).</p>",2025-03-31,2025-04-04,sprint7-project1,TODO,THEORY,OOP,21130320,21130416,Đọc tài liệu - Phân tích ví dụ,MEDIUM,fca63275-f3b3-4839-b287-a8b7474dd393,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Ghi tài liệu Template Method và Visitor,MINOR,<p>Viết tài liệu chi tiết về việc áp dụng Template Method và Visitor Pattern.</p>,2025-04-01,2025-04-05,sprint7-project1,TODO,THEORY,Document,21130416,21130319,Giải thích cách hoạt động - Minh họa,LOW,fca63275-f3b3-4839-b287-a8b7474dd393,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Thiết kế cấu trúc MVC cho ứng dụng,MAJOR,<p>Phân tích và thiết kế kiến trúc Model-View-Controller (MVC) cho toàn bộ ứng dụng quản lý đơn hàng.</p>,2025-04-06,2025-04-12,sprint8-project1,TODO,PRACTICE,"OOP,Java",21130319,21130320,Xác định Model - Thiết kế View - Lập Controller,HIGH,07743875-1d87-4d81-8c5c-4e909871d8f0,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Hiện thực các lớp Model cơ bản,MAJOR,"<p>Viết mã cho các lớp Model như <code>Product</code>, <code>Order</code>, <code>Customer</code> theo mô hình MVC.</p>",2025-04-08,2025-04-15,sprint8-project1,TODO,PRACTICE,Java,21130320,21130416,Code Model Product - Code Model Order,HIGH,07743875-1d87-4d81-8c5c-4e909871d8f0,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Hiện thực View cho danh sách đơn hàng,MAJOR,<p>Thiết kế và viết mã cho giao diện hiển thị danh sách đơn hàng.</p>,2025-04-10,2025-04-19,sprint8-project1,TODO,PRACTICE,Java,21130416,21130319,Thiết kế Layout - Hiện thực UI,HIGH,07743875-1d87-4d81-8c5c-4e909871d8f0,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Tối ưu hóa mã nguồn các mẫu đã dùng,MAJOR,<p>Xem xét lại và tối ưu hóa mã nguồn của các Design Pattern đã áp dụng để cải thiện hiệu suất và khả năng bảo trì.</p>,2025-04-20,2025-04-27,sprint9-project1,TODO,PRACTICE,"OOP,Java",21130319,21130320,Refactor code - Kiểm tra hiệu suất,HIGH,fb4952a3-6fbb-416b-92b3-d13f835e0de6,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Kiểm tra tính đúng đắn của các mẫu thiết kế,MAJOR,<p>Thực hiện các bài kiểm tra đơn vị và tích hợp để đảm bảo các Design Pattern hoạt động chính xác.</p>,2025-04-22,2025-05-01,sprint9-project1,TODO,PRACTICE,OOP,21130320,21130416,Unit Test - Integration Test,HIGH,fb4952a3-6fbb-416b-92b3-d13f835e0de6,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Cải thiện tài liệu kỹ thuật,MINOR,<p>Cập nhật và bổ sung tài liệu kỹ thuật cho các mẫu thiết kế đã sử dụng.</p>,2025-04-25,2025-05-03,sprint9-project1,TODO,THEORY,Document,21130416,21130319,Viết thêm - Sửa lỗi chính tả,LOW,fb4952a3-6fbb-416b-92b3-d13f835e0de6,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Viết báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp toàn bộ tài liệu dự án, bao gồm mô tả kiến trúc, các sơ đồ (Class Diagram, Use Case Diagram) và giải thích các Design Pattern đã áp dụng.</p>",2025-05-04,2025-05-08,sprint10-project1,TODO,THEORY,Document,21130319,21130320,Tổng hợp tài liệu - Viết báo cáo,HIGH,248f987f-a6ca-401f-af4d-776eb16310c2,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Chuẩn bị bản demo ứng dụng,MAJOR,<p>Chuẩn bị một bản demo ứng dụng quản lý đơn hàng đã hoàn thiện để trình bày.</p>,2025-05-05,2025-05-09,sprint10-project1,TODO,PRACTICE,Java,21130320,21130416,Kiểm thử cuối cùng - Luyện tập trình bày,HIGH,248f987f-a6ca-401f-af4d-776eb16310c2,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Kiểm tra lỗi và sửa lỗi,MINOR,<p>Kiểm tra toàn bộ ứng dụng để tìm và sửa các lỗi còn tồn đọng trước khi báo cáo.</p>,2025-05-06,2025-05-10,sprint10-project1,TODO,PRACTICE,Java,21130416,21130319,Test chức năng - Sửa lỗi,MEDIUM,248f987f-a6ca-401f-af4d-776eb16310c2,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Chọn đề tài và ngôn ngữ,MAJOR,<p>Xác định đề tài ứng dụng đọc tin tức RSS và ngôn ngữ lập trình (ví dụ: Python).</p>,2025-02-09,2025-02-15,sprint1-project2,DONE,THEORY,"Python,OOP",21130451,21130444,Lựa chọn đề tài - Chọn ngôn ngữ,MEDIUM,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Xác định yêu cầu chức năng,MAJOR,"<p>Thu thập và phân tích các yêu cầu về chức năng thêm/bớt nguồn tin, đọc tin, lưu tin.</p>",2025-02-10,2025-02-14,sprint1-project2,DONE,PRACTICE,Document,21130444,21130509,Thu thập yêu cầu - Phân tích,LOW,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Lập kế hoạch dự án ban đầu,MINOR,"<p>Xác định phạm vi, mục tiêu và các mốc thời gian chính cho dự án đọc tin tức.</p>",2025-02-11,2025-02-15,sprint1-project2,INPROCESS,THEORY,Document,21130509,21130451,Xác định scope - Đặt mục tiêu,LOW,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Tìm hiểu các tính chất OOP nâng cao,MAJOR,"<p>Nghiên cứu sâu hơn về tính kế thừa, đa hình, đóng gói và trừu tượng với các ví dụ về quản lý tin tức.</p>",2025-02-16,2025-02-20,sprint2-project2,DONE,THEORY,OOP,21130451,21130444,Nghiên cứu tài liệu - Ví dụ thực tế,MEDIUM,49dd8be6-7191-430b-acae-501c1bee2770,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Thiết kế Class Diagram cho Tin tức và Nguồn tin,MAJOR,"<p>Vẽ Class Diagram cho các lớp <code>NewsArticle</code>, <code>RSSFeed</code>.</p>",2025-02-18,2025-02-25,sprint2-project2,INPROCESS,PRACTICE,"OOP,Document",21130444,21130509,Thiết kế lớp NewsArticle - Thiết kế lớp RSSFeed,MEDIUM,49dd8be6-7191-430b-acae-501c1bee2770,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực lớp NewsArticle và RSSFeed,MAJOR,"<p>Viết mã Python cho lớp <code>NewsArticle</code> và <code>RSSFeed</code>, đảm bảo tính đóng gói.</p>",2025-02-22,2025-03-01,sprint2-project2,INPROCESS,PRACTICE,Python,21130509,21130451,Code lớp NewsArticle - Code lớp RSSFeed,HIGH,49dd8be6-7191-430b-acae-501c1bee2770,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Áp dụng Strategy Pattern cho định dạng hiển thị tin,MAJOR,"<p>Hiện thực Strategy Pattern để quản lý các phương thức hiển thị tin tức khác nhau (ví dụ: hiển thị đầy đủ, tóm tắt).</p>",2025-03-02,2025-03-08,sprint3-project2,INPROCESS,PRACTICE,"OOP,Python",21130451,21130444,Thiết kế Interface DisplayStrategy - Hiện thực Concrete Strategy,HIGH,542b89e4-501f-418c-8e43-890f945e847a,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Ghi tài liệu về Strategy Pattern,MINOR,<p>Viết tài liệu giải thích Factory Method Pattern và cách sử dụng trong dự án đọc tin tức.</p>,2025-03-03,2025-03-07,sprint3-project2,TODO,THEORY,Document,21130444,21130509,Mô tả Pattern - Ví dụ áp dụng,LOW,542b89e4-501f-418c-8e43-890f945e847a,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực Singleton Pattern cho quản lý nguồn tin,MAJOR,<p>Áp dụng Singleton Pattern để quản lý một thể hiện duy nhất của lớp <code>FeedManager</code>.</p>,2025-03-09,2025-03-15,sprint4-project2,INPROCESS,PRACTICE,"OOP,Python",21130509,21130451,Thiết kế Singleton - Kiểm tra hoạt động,HIGH,00bf93d6-7893-481b-b3a6-7536a788f22d,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực Observer Pattern cho cập nhật tin tức,MAJOR,<p>Sử dụng Observer Pattern để thông báo cho người dùng khi có tin tức mới từ các nguồn đã đăng ký.</p>,2025-03-10,2025-03-14,sprint4-project2,TODO,PRACTICE,"OOP,Python",21130451,21130444,Thiết kế Subject - Hiện thực Observer,HIGH,00bf93d6-7893-481b-b3a6-7536a788f22d,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Ghi tài liệu về Singleton và Observer,MINOR,<p>Viết tài liệu chi tiết về Singleton và Observer Pattern.</p>,2025-03-11,2025-03-15,sprint4-project2,TODO,THEORY,Document,21130444,21130509,Tóm tắt Pattern - Minh họa code,LOW,00bf93d6-7893-481b-b3a6-7536a788f22d,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Thiết kế Factory Method cho tạo nguồn tin,MAJOR,"<p>Hiện thực Factory Method Pattern để tạo các loại nguồn tin khác nhau (ví dụ: RSS, Atom).</p>",2025-03-16,2025-03-22,sprint5-project2,TODO,PRACTICE,"OOP,Python",21130509,21130451,Thiết kế Creator - Hiện thực Concrete Creator,HIGH,1d95edd7-9ceb-4e2c-af16-35735c0d39e8,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Nghiên cứu Abstract Factory cho giao diện,MAJOR,"<p>Nghiên cứu và thiết kế Abstract Factory Pattern cho việc tạo các thành phần giao diện người dùng (ví dụ: nút, trường nhập liệu) cho các nền tảng khác nhau.</p>",2025-03-17,2025-03-21,sprint5-project2,TODO,THEORY,OOP,21130451,21130444,Đọc tài liệu - Phân tích trường hợp sử dụng,MEDIUM,1d95edd7-9ceb-4e2c-af16-35735c0d39e8,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Ghi tài liệu về Factory Method,MINOR,<p>Viết mô tả cách Factory Method Pattern được sử dụng để tạo đối tượng nguồn tin.</p>,2025-03-18,2025-03-22,sprint5-project2,TODO,THEORY,Document,21130444,21130509,Giải thích Pattern - Ví dụ minh họa,LOW,1d95edd7-9ceb-4e2c-af16-35735c0d39e8,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực Decorator Pattern cho tin tức,MAJOR,"<p>Áp dụng Decorator Pattern để thêm các thuộc tính tùy chọn vào tin tức (ví dụ: đánh dấu đã đọc, tin yêu thích).</p>",2025-03-23,2025-03-29,sprint6-project2,TODO,PRACTICE,"OOP,Python",21130509,21130451,Thiết kế Component - Hiện thực Decorator,HIGH,4d8b7804-ba53-497d-8f69-3ecbe2ba6c05,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực Iterator Pattern cho duyệt tin,MAJOR,<p>Sử dụng Iterator Pattern để duyệt qua danh sách các tin tức từ một nguồn cụ thể.</p>,2025-03-24,2025-03-28,sprint6-project2,TODO,PRACTICE,"OOP,Python",21130451,21130444,Thiết kế Iterator - Hiện thực Aggregate,HIGH,4d8b7804-ba53-497d-8f69-3ecbe2ba6c05,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Ghi tài liệu Decorator và Iterator,MINOR,<p>Tài liệu hóa việc áp dụng Decorator và Iterator Pattern trong dự án.</p>,2025-03-25,2025-03-29,sprint6-project2,TODO,THEORY,Document,21130444,21130509,Mô tả cách dùng - Ví dụ code,LOW,4d8b7804-ba53-497d-8f69-3ecbe2ba6c05,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Thiết kế Template Method cho quy trình đọc tin,MAJOR,"<p>Áp dụng Template Method Pattern để định nghĩa quy trình đọc tin tức (tải, phân tích, hiển thị).</p>",2025-03-30,2025-04-05,sprint7-project2,TODO,PRACTICE,"OOP,Python",21130509,21130451,Thiết kế Abstract Class - Hiện thực Concrete Class,HIGH,fca63275-f3b3-4839-b287-a8b7474dd393,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Nghiên cứu Visitor Pattern cho phân tích dữ liệu tin tức,MAJOR,"<p>Tìm hiểu về Visitor Pattern và cách sử dụng nó để tạo các loại phân tích dữ liệu tin tức khác nhau (ví dụ: số lượng từ, từ khóa).</p>",2025-03-31,2025-04-04,sprint7-project2,TODO,THEORY,OOP,21130451,21130444,Đọc tài liệu - Phân tích ví dụ,MEDIUM,fca63275-f3b3-4839-b287-a8b7474dd393,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Ghi tài liệu Template Method và Visitor,MINOR,<p>Viết tài liệu chi tiết về việc áp dụng Template Method và Visitor Pattern.</p>,2025-04-01,2025-04-05,sprint7-project2,TODO,THEORY,Document,21130444,21130509,Giải thích cách hoạt động - Minh họa,LOW,fca63275-f3b3-4839-b287-a8b7474dd393,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Thiết kế cấu trúc MVC cho ứng dụng,MAJOR,<p>Phân tích và thiết kế kiến trúc Model-View-Controller (MVC) cho toàn bộ ứng dụng đọc tin tức.</p>,2025-04-06,2025-04-12,sprint8-project2,TODO,PRACTICE,"OOP,Python",21130509,21130451,Xác định Model - Thiết kế View - Lập Controller,HIGH,07743875-1d87-4d81-8c5c-4e909871d8f0,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực các lớp Model cơ bản,MAJOR,"<p>Viết mã cho các lớp Model như <code>NewsArticle</code>, <code>RSSFeed</code>, <code>UserManager</code> theo mô hình MVC.</p>",2025-04-08,2025-04-15,sprint8-project2,TODO,PRACTICE,Python,21130451,21130444,Code Model NewsArticle - Code Model RSSFeed,HIGH,07743875-1d87-4d81-8c5c-4e909871d8f0,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Hiện thực View cho danh sách tin tức,MAJOR,<p>Thiết kế và viết mã cho giao diện hiển thị danh sách tin tức.</p>,2025-04-10,2025-04-19,sprint8-project2,TODO,PRACTICE,Python,21130444,21130509,Thiết kế Layout - Hiện thực UI,HIGH,07743875-1d87-4d81-8c5c-4e909871d8f0,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Tối ưu hóa mã nguồn các mẫu đã dùng,MAJOR,<p>Xem xét lại và tối ưu hóa mã nguồn của các Design Pattern đã áp dụng để cải thiện hiệu suất và khả năng bảo trì.</p>,2025-04-20,2025-04-27,sprint9-project2,TODO,PRACTICE,"OOP,Python",21130509,21130451,Refactor code - Kiểm tra hiệu suất,HIGH,fb4952a3-6fbb-416b-92b3-d13f835e0de6,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Kiểm tra tính đúng đắn của các mẫu thiết kế,MAJOR,<p>Thực hiện các bài kiểm tra đơn vị và tích hợp để đảm bảo các Design Pattern hoạt động chính xác.</p>,2025-04-22,2025-05-01,sprint9-project2,TODO,PRACTICE,OOP,21130451,21130444,Unit Test - Integration Test,HIGH,fb4952a3-6fbb-416b-92b3-d13f835e0de6,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Cải thiện tài liệu kỹ thuật,MINOR,<p>Cập nhật và bổ sung tài liệu kỹ thuật cho các mẫu thiết kế đã sử dụng.</p>,2025-04-25,2025-05-03,sprint9-project2,TODO,THEORY,Document,21130444,21130509,Viết thêm - Sửa lỗi chính tả,LOW,fb4952a3-6fbb-416b-92b3-d13f835e0de6,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Viết báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp toàn bộ tài liệu dự án, bao gồm mô tả kiến trúc, các sơ đồ (Class Diagram, Use Case Diagram) và giải thích các Design Pattern đã áp dụng.</p>",2025-05-04,2025-05-08,sprint10-project2,TODO,THEORY,Document,21130509,21130451,Tổng hợp tài liệu - Viết báo cáo,HIGH,248f987f-a6ca-401f-af4d-776eb16310c2,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Chuẩn bị bản demo ứng dụng,MAJOR,<p>Chuẩn bị một bản demo ứng dụng đọc tin tức đã hoàn thiện để trình bày.</p>,2025-05-05,2025-05-09,sprint10-project2,TODO,PRACTICE,Python,21130451,21130444,Kiểm thử cuối cùng - Luyện tập trình bày,HIGH,248f987f-a6ca-401f-af4d-776eb16310c2,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Kiểm tra lỗi và sửa lỗi,MINOR,<p>Kiểm tra toàn bộ ứng dụng để tìm và sửa các lỗi còn tồn đọng trước khi báo cáo.</p>,2025-05-06,2025-05-10,sprint10-project2,TODO,PRACTICE,Python,21130444,21130509,Test chức năng - Sửa lỗi,MEDIUM,248f987f-a6ca-401f-af4d-776eb16310c2,29d9f886-4301-4881-8785-f773e8e9b3c7,21130451,
Chọn đề tài và ngôn ngữ,MAJOR,<p>Lựa chọn đề tài cho phần mềm quản lý bãi đỗ xe và ngôn ngữ lập trình (ví dụ: Java).</p>,2025-02-09,2025-02-15,sprint1-project3,DONE,THEORY,"Java,OOP",21130601,21130612,Nghiên cứu đề tài - Lựa chọn ngôn ngữ,MEDIUM,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,6d7c2809-16b0-4200-99b7-ca3ce7ab72f7,21130601,
Xác định chức năng cốt lõi,MAJOR,"<p>Liệt kê các chức năng chính như kiểm tra chỗ trống, tính phí, quản lý xe ra vào.</p>",2025-02-10,2025-02-14,sprint1-project3,DONE,PRACTICE,Document,21130612,21130219,Xác định chức năng - Tạo danh sách,LOW,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,6d7c2809-16b0-4200-99b7-ca3ce7ab72f7,21130601,
Lên kế hoạch dự án ban đầu,MINOR,"<p>Xác định phạm vi, mục tiêu và các mốc thời gian chính cho dự án quản lý bãi đỗ xe.</p>",2025-02-11,2025-02-15,sprint1-project3,INPROCESS,THEORY,Document,21130219,21130601,Phân công - Đặt mốc thời gian,LOW,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,6d7c2809-16b0-4200-99b7-ca3ce7ab72f7,21130601,
Tìm hiểu về đa hình và trừu tượng,MAJOR,<p>Nghiên cứu cách áp dụng đa hình cho các loại xe và trừu tượng hóa các khái niệm như chỗ đỗ.</p>,2025-02-16,2025-02-20,sprint2-project3,DONE,THEORY,OOP,21130601,21130612,Đọc tài liệu - Tìm hiểu ví dụ,MEDIUM,49dd8be6-7191-430b-acae-501c1bee2770,6d7c2809-16b0-4200-99b7-ca3ce7ab72f7,21130601,
Thiết kế Class Diagram cho Bãi đỗ xe,MAJOR,"<p>Vẽ Class Diagram cho các lớp <code>Vehicle</code>, <code>ParkingSpot</code>, <code>ParkingLot</code>.</p>",2025-02-18,2025-02-25,sprint2-project3,INPROCESS,PRACTICE,"OOP,Document",21130612,21130219,Thiết kế lớp Vehicle - Thiết kế lớp ParkingSpot,MEDIUM,49dd8be6-7191-430b-acae-501c1bee2770,6d7c2809-16b0-4200-99b7-ca3ce7ab72f7,21130601,
Hiện thực lớp Vehicle và ParkingLot,MAJOR,<p>Viết mã Java cho lớp <code>Vehicle</code> và <code>ParkingLot</code>.</p>,2025-02-22,2025-03-01,sprint2-project3,INPROCESS,PRACTICE,Java,21130219,21130601,Code lớp Vehicle - Code lớp ParkingLot,HIGH,49dd8be6-7191-430b-acae-501c1bee2770,6d7c2809-16b0-4200-99b7-ca3ce7ab72f7,21130601,
