name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,sprint_map,projectId,project_map,uniId,id
Kiểm thử và demo mô hình,MAJOR,<html>Kiểm thử mô hình với các email thực tế. Chuẩn bị tài liệu demo và trình bày kết quả.</html>,2025-03-28,2025-04-04,sprint-5-1,TODO,PRACTICE,Research,21130416,21130319,Kiểm thử với dữ liệu mới - Ghi nhận kết quả,HIGH,5,cd36124d-d149-4e1b-a716-63db9678cf63,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Tối ưu hóa và Hiệu chỉnh mô hình,MAJOR,"<html>Dựa trên kết quả đánh giá, tiến hành tối ưu hóa mô hình (ví dụ: điều chỉnh siêu tham số, thử các kỹ thuật feature engineering khác).</html>",2025-04-06,2025-04-12,sprint-4-1,TODO,PRACTICE,Python,21130320,21130416,Điều chỉnh siêu tham số - Thử nghiệm mô hình mới,HIGH,4,ed2bc749-adac-4f85-b07d-93f7dce64a41,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Chuẩn bị tài liệu báo cáo và Source Code,MAJOR,"<html>Tổng hợp các kết quả, phân tích và kiến nghị vào tài liệu báo cáo cuối kỳ. Đảm bảo mã nguồn sạch sẽ, có comment và sẵn sàng để nộp.</html>",2025-04-10,2025-04-19,sprint-6-1,TODO,PRACTICE,Research,21130416,21130319,Viết báo cáo - Tổ chức mã nguồn,MEDIUM,6,9d2d20a1-f820-4c32-9fab-cbc63a86a98d,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Tìm hiểu các yếu tố ảnh hưởng giá nhà,MAJOR,"<html>Nghiên cứu các yếu tố chính ảnh hưởng đến giá nhà như diện tích, số phòng ngủ, vị trí, tiện ích xung quanh.</html>",2025-02-10,2025-02-15,sprint-1-2,DONE,THEORY,Research,21130451,21130444,Khảo sát thị trường bất động sản - Phân tích đặc trưng,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Tìm kiếm và lựa chọn Dataset Giá Nhà,MAJOR,"<html>Tìm kiếm các bộ dữ liệu giá nhà có sẵn (ví dụ: Boston Housing Dataset, California Housing Dataset) để huấn luyện mô hình.</html>",2025-02-12,2025-02-17,sprint-1-2,DONE,PRACTICE,Research,21130444,21130509,Xác định nguồn dataset - Đánh giá tính phù hợp,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Thiết lập môi trường Python cho Regression,MINOR,"<html>Cài đặt Python, Jupyter Notebook/Google Colab và các thư viện cần thiết cho hồi quy (pandas, scikit-learn, numpy, matplotlib).</html>",2025-02-09,2025-02-12,sprint-1-2,DONE,PRACTICE,Python,21130509,21130451,Cài đặt thư viện - Chuẩn bị môi trường,LOW,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Xử lý dữ liệu thiếu và ngoại lệ,MAJOR,<html>Thực hiện các phương pháp xử lý dữ liệu thiếu (imputation) và nhận diện/xử lý các giá trị ngoại lệ (outliers) trong dataset giá nhà.</html>,2025-02-20,2025-02-28,sprint-2-2,INPROCESS,PRACTICE,Python,21130451,21130444,Xử lý missing values - Phát hiện outliers,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Phân tích tương quan giữa các biến,MAJOR,<html>Thực hiện phân tích tương quan giữa các biến độc lập và biến phụ thuộc (giá nhà) để hiểu rõ mối quan hệ dữ liệu.</html>,2025-02-25,2025-03-03,sprint-2-2,INPROCESS,PRACTICE,Python,21130444,21130509,Tính toán ma trận tương quan - Biểu đồ phân tán,MEDIUM,2,bc3884ae-e246-4001-857c-b2ddd16ec442,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Chuẩn hóa và chia tách Dataset,MAJOR,"<html>Chuẩn hóa dữ liệu (scaling) và chia dataset thành tập huấn luyện, tập kiểm tra.</html>",2025-02-28,2025-03-05,sprint-2-2,INPROCESS,PRACTICE,Python,21130509,21130451,Scaling dữ liệu - Train/Test split,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Lựa chọn và Huấn luyện mô hình Linear Regression,MAJOR,<html>Tiến hành huấn luyện mô hình Hồi quy tuyến tính (Linear Regression) trên tập dữ liệu đã xử lý.</html>,2025-03-07,2025-03-14,sprint-3-2,TODO,PRACTICE,Python,21130451,21130444,Huấn luyện Linear Regression - Điều chỉnh mô hình,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Đánh giá mô hình dự đoán giá nhà,MAJOR,"<html>Đánh giá hiệu suất của mô hình bằng các chỉ số như RMSE, MAE, R-squared.</html>",2025-03-15,2025-03-20,sprint-3-2,TODO,THEORY,Research,21130444,21130509,Tính toán RMSE - Phân tích R-squared,HIGH,3,746d0e99-8024-4fd8-8851-0ff42317774a,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Lựa chọn và Huấn luyện các mô hình khác (ví dụ: Decision Tree Regression),MAJOR,<html>Thử nghiệm và huấn luyện thêm một mô hình hồi quy khác (ví dụ: Decision Tree Regressor) để so sánh hiệu suất.</html>,2025-03-09,2025-03-16,sprint-3-2,TODO,PRACTICE,Python,21130509,21130451,Huấn luyện Decision Tree - So sánh kết quả,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Xây dựng công cụ dự đoán giá nhà,MAJOR,<html>Phát triển một công cụ đơn giản (ví dụ: command-line tool hoặc giao diện web nhỏ) để người dùng nhập các đặc trưng và nhận kết quả dự đoán giá nhà.</html>,2025-03-22,2025-03-30,sprint-5-2,TODO,PRACTICE,Python,21130451,21130444,Thiết kế giao diện - Tích hợp mô hình,MEDIUM,5,cd36124d-d149-4e1b-a716-63db9678cf63,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Kiểm thử ứng dụng với dữ liệu thực tế,MAJOR,<html>Kiểm thử công cụ dự đoán với các bộ dữ liệu nhà ở thực tế để đánh giá độ chính xác.</html>,2025-03-28,2025-04-04,sprint-5-2,TODO,PRACTICE,Research,21130444,21130509,Kiểm tra tính năng - Đánh giá độ tin cậy,HIGH,5,cd36124d-d149-4e1b-a716-63db9678cf63,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Hiệu chỉnh mô hình và phân tích lỗi,MAJOR,<html>Phân tích các trường hợp mô hình dự đoán sai để hiểu nguyên nhân và hiệu chỉnh mô hình nếu cần.</html>,2025-04-06,2025-04-12,sprint-4-2,TODO,PRACTICE,Python,21130451,21130444,Phân tích residual - Cải thiện mô hình,HIGH,4,ed2bc749-adac-4f85-b07d-93f7dce64a41,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Hoàn thiện báo cáo và mã nguồn,MAJOR,"<html>Tổng hợp toàn bộ quá trình, kết quả, và đề xuất cải tiến vào báo cáo. Sắp xếp mã nguồn dự án gọn gàng.</html>",2025-04-10,2025-04-19,sprint-6-2,TODO,PRACTICE,Research,21130444,21130509,Viết báo cáo cuối kỳ - Đóng gói mã nguồn,MEDIUM,6,9d2d20a1-f820-4c32-9fab-cbc63a86a98d,2,9fefc788-7a52-4ed4-a257-5179ce5b2efe,21130451,
Tìm hiểu về mạng nơ-ron tích chập (CNN),MAJOR,"<html>Nghiên cứu kiến trúc cơ bản của mạng CNN (Convolutional Layer, Pooling Layer, Fully Connected Layer) và cách chúng hoạt động.</html>",2025-02-10,2025-02-15,sprint-1-3,DONE,THEORY,Research,21130601,21130612,Đọc tài liệu CNN - Hiểu kiến trúc cơ bản,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Chuẩn bị dataset MNIST,MAJOR,<html>Tải và làm quen với dataset MNIST (tập dữ liệu chữ số viết tay).</html>,2025-02-12,2025-02-17,sprint-1-3,DONE,PRACTICE,Research,21130612,21130219,Tải MNIST - Khám phá dữ liệu,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Thiết lập môi trường Deep Learning,MINOR,<html>Cài đặt thư viện TensorFlow/Keras cho Python để xây dựng và huấn luyện mô hình CNN.</html>,2025-02-09,2025-02-12,sprint-1-3,DONE,PRACTICE,Python,21130219,21130601,Cài đặt TensorFlow - Cài đặt Keras,LOW,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Tiền xử lý và chuẩn hóa ảnh MNIST,MAJOR,"<html>Chuyển đổi định dạng ảnh (ví dụ: từ grayscale sang RGB nếu cần), chuẩn hóa giá trị pixel và chia dataset.</html>",2025-02-20,2025-02-28,sprint-2-3,INPROCESS,PRACTICE,Python,21130601,21130612,Chuẩn hóa pixel - Resize ảnh,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Trực quan hóa dữ liệu chữ số,MAJOR,<html>Sử dụng Matplotlib để hiển thị một số mẫu chữ số từ dataset MNIST và hiểu cấu trúc dữ liệu.</html>,2025-02-25,2025-03-03,sprint-2-3,INPROCESS,PRACTICE,Python,21130612,21130219,Vẽ ảnh mẫu - Phân tích phân bố,MEDIUM,2,bc3884ae-e246-4001-857c-b2ddd16ec442,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Xây dựng kiến trúc CNN đơn giản,MAJOR,"<html>Thiết kế và xây dựng một kiến trúc CNN cơ bản với vài lớp Convolutional và Pooling, sử dụng Keras.</html>",2025-03-07,2025-03-14,sprint-3-3,TODO,PRACTICE,Python,21130601,21130612,Định nghĩa các lớp CNN - Compile mô hình,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Huấn luyện mô hình CNN nhận diện chữ số,MAJOR,<html>Tiến hành huấn luyện mô hình CNN trên tập huấn luyện MNIST và theo dõi quá trình học.</html>,2025-03-09,2025-03-16,sprint-3-3,TODO,PRACTICE,Python,21130612,21130219,Chạy huấn luyện - Theo dõi Loss/Accuracy,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Đánh giá hiệu suất mô hình CNN,MAJOR,<html>Đánh giá độ chính xác của mô hình trên tập kiểm tra MNIST và vẽ Confusion Matrix.</html>,2025-03-15,2025-03-20,sprint-3-3,TODO,THEORY,Research,21130219,21130601,Tính toán Accuracy - Trực quan hóa kết quả,HIGH,3,746d0e99-8024-4fd8-8851-0ff42317774a,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Xây dựng ứng dụng vẽ và nhận diện chữ số,MAJOR,<html>Phát triển một ứng dụng web/desktop nhỏ cho phép người dùng vẽ chữ số và mô hình sẽ dự đoán đó là chữ số nào.</html>,2025-03-22,2025-03-30,sprint-5-3,TODO,PRACTICE,Python,21130601,21130612,Thiết kế giao diện vẽ - Tích hợp mô hình dự đoán,MEDIUM,5,cd36124d-d149-4e1b-a716-63db9678cf63,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Kiểm thử và demo ứng dụng,MAJOR,<html>Kiểm thử ứng dụng với các chữ số viết tay khác nhau. Chuẩn bị buổi demo.</html>,2025-03-28,2025-04-04,sprint-5-3,TODO,PRACTICE,Research,21130612,21130219,Kiểm tra tính năng vẽ - Demo kết quả,HIGH,5,cd36124d-d149-4e1b-a716-63db9678cf63,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Hiệu chỉnh và cải thiện CNN,MAJOR,<html>Thử nghiệm các kiến trúc CNN khác hoặc điều chỉnh siêu tham số để cải thiện độ chính xác của mô hình.</html>,2025-04-06,2025-04-12,sprint-4-3,TODO,PRACTICE,Python,21130601,21130612,Thay đổi kiến trúc - Điều chỉnh learning rate,HIGH,4,ed2bc749-adac-4f85-b07d-93f7dce64a41,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Hoàn thiện báo cáo kỹ thuật và mã nguồn,MAJOR,"<html>Viết báo cáo chi tiết về quá trình xây dựng, huấn luyện và đánh giá mô hình CNN. Sắp xếp mã nguồn một cách có tổ chức.</html>",2025-04-10,2025-04-19,sprint-6-3,TODO,PRACTICE,Research,21130612,21130219,Viết phần giới thiệu - Chuẩn bị GitHub repo,MEDIUM,6,9d2d20a1-f820-4c32-9fab-cbc63a86a98d,3,6c8ea210-e44d-4b1f-ad3f-69f008dd8f45,21130601,
Tìm hiểu về Phân tích cảm xúc (Sentiment Analysis),MAJOR,"<html>Nghiên cứu các phương pháp phân tích cảm xúc dựa trên Machine Learning như Naive Bayes, SVM, Logistic Regression và các kỹ thuật tiền xử lý văn bản.</html>",2025-02-10,2025-02-15,sprint-1-4,DONE,THEORY,Research,21130363,21130175,Đọc tài liệu NLP - Khảo sát thuật toán,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,9c5de92f-9b21-4a40-af10-5ac94b12bd8f
Tìm kiếm và lựa chọn Dataset Bình luận,MAJOR,"<html>Tìm kiếm các bộ dữ liệu bình luận có gán nhãn cảm xúc (ví dụ: IMDb movie reviews, Twitter sentiment analysis).</html>",2025-02-12,2025-02-17,sprint-1-4,DONE,PRACTICE,Research,21130175,21130171,Xác định nguồn dataset - Đánh giá độ phù hợp,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,090b6a8f-18fd-4406-88ff-827371a2c9d7
Thiết lập môi trường cho xử lý ngôn ngữ tự nhiên,MINOR,"<html>Cài đặt thư viện NLTK, scikit-learn và các công cụ cần thiết cho xử lý văn bản trong Python.</html>",2025-02-09,2025-02-12,sprint-1-4,DONE,PRACTICE,Python,21130171,21130363,Cài đặt NLTK - Chuẩn bị môi trường,LOW,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,34df8ef0-9367-45a6-9885-39cb1f5ae99d
Tiền xử lý và làm sạch dữ liệu văn bản,MAJOR,"<html>Thực hiện các bước tiền xử lý như loại bỏ stop words, dấu câu, chuyển chữ thường, tokenization và stem/lemmatization.</html>",2025-02-20,2025-02-28,sprint-2-4,INPROCESS,PRACTICE,Python,21130363,21130175,Làm sạch text - Xử lý token,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,a3a31fa9-d94a-45b2-8fc5-3cb8db11db82
Trích xuất đặc trưng văn bản (TF-IDF/BoW),MAJOR,<html>Chuyển đổi văn bản thành các đặc trưng số học sử dụng Bag of Words (BoW) hoặc TF-IDF.</html>,2025-02-25,2025-03-03,sprint-2-4,INPROCESS,PRACTICE,Python,21130175,21130171,Áp dụng TF-IDF - Xây dựng BoW,MEDIUM,2,bc3884ae-e246-4001-857c-b2ddd16ec442,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,66168eb0-51fb-4a1e-af3a-7436c5402c06
Phân chia dataset và cân bằng lớp,MAJOR,<html>Chia dataset thành tập huấn luyện và kiểm tra. Xem xét cân bằng lớp nếu dataset có sự mất cân bằng về số lượng bình luận tích cực/tiêu cực.</html>,2025-02-28,2025-03-05,sprint-2-4,INPROCESS,PRACTICE,Python,21130171,21130363,Chia Train/Test - Xử lý imbalanced data,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,28b857a4-b3fe-40e7-a048-0d6d2f5b29e2
Huấn luyện mô hình Logistic Regression,MAJOR,<html>Tiến hành huấn luyện mô hình Logistic Regression để phân loại cảm xúc.</html>,2025-03-07,2025-03-14,sprint-3-4,TODO,PRACTICE,Python,21130363,21130175,Huấn luyện Logistic Regression - Tinh chỉnh tham số,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,60caa2b3-a790-491d-b473-f06f9b5913fa
Huấn luyện mô hình SVM cho phân tích cảm xúc,MAJOR,<html>Thử nghiệm huấn luyện mô hình Support Vector Machine (SVM) để so sánh hiệu suất.</html>,2025-03-09,2025-03-16,sprint-3-4,TODO,PRACTICE,Python,21130175,21130171,Huấn luyện SVM - Đánh giá sự khác biệt,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,6c207d64-bc09-4be6-afa4-13754e5cfd53
Đánh giá mô hình phân tích cảm xúc,MAJOR,"<html>Sử dụng các chỉ số như Accuracy, Precision, Recall, F1-score và Confusion Matrix để đánh giá hiệu suất của các mô hình.</html>",2025-03-15,2025-03-20,sprint-3-4,TODO,THEORY,Research,21130171,21130363,Tính toán các chỉ số - Phân tích kết quả,HIGH,3,746d0e99-8024-4fd8-8851-0ff42317774a,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,cc23ca40-46d1-441b-9c0d-8848b9675921
Xây dựng ứng dụng phân tích bình luận,MAJOR,<html>Phát triển một giao diện đơn giản (ví dụ: sử dụng Streamlit) cho phép người dùng nhập bình luận và xem kết quả phân tích cảm xúc.</html>,2025-03-22,2025-03-30,sprint-5-4,TODO,PRACTICE,Python,21130363,21130175,Thiết kế giao diện - Kết nối API mô hình,MEDIUM,5,cd36124d-d149-4e1b-a716-63db9678cf63,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,c0f41232-1ff4-4ce4-8a2d-2deadaf396ea
Kiểm thử và tối ưu ứng dụng,MAJOR,<html>Kiểm thử ứng dụng với các bình luận đa dạng để đảm bảo hoạt động ổn định và chính xác.</html>,2025-03-28,2025-04-04,sprint-5-4,TODO,PRACTICE,Research,21130175,21130171,Kiểm tra tính năng - Tối ưu hiệu suất,HIGH,5,cd36124d-d149-4e1b-a716-63db9678cf63,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,7667c219-2200-43fc-a8c1-4485fc9b4e10
Hiệu chỉnh và so sánh các mô hình,MAJOR,<html>Thực hiện tinh chỉnh các siêu tham số hoặc thử các phương pháp trích xuất đặc trưng khác để cải thiện mô hình. So sánh lại hiệu suất.</html>,2025-04-06,2025-04-12,sprint-4-4,TODO,PRACTICE,Python,21130363,21130175,Tinh chỉnh siêu tham số - So sánh thuật toán,HIGH,4,ed2bc749-adac-4f85-b07d-93f7dce64a41,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,b371db39-a1b8-47c0-b0d6-4fa55586d30f
Báo cáo dự án và tài liệu hướng dẫn,MAJOR,"<html>Viết báo cáo tổng kết dự án, bao gồm mô tả quy trình, kết quả đạt được, và các khó khăn gặp phải. Chuẩn bị tài liệu hướng dẫn sử dụng ứng dụng.</html>",2025-04-10,2025-04-19,sprint-6-4,TODO,PRACTICE,Research,21130175,21130171,Viết phần kết luận - Hướng dẫn sử dụng,MEDIUM,6,9d2d20a1-f820-4c32-9fab-cbc63a86a98d,4,5d5ef264-aa35-4e4e-b806-5022146d4cc7,21130363,49de72ed-f9da-4706-93d0-950533eeb59f
Nghiên cứu các yếu tố nguy cơ bệnh tim,MAJOR,"<html>Tìm hiểu các yếu tố nguy cơ phổ biến dẫn đến bệnh tim như huyết áp, cholesterol, tuổi tác, giới tính, thói quen sinh hoạt.</html>",2025-02-10,2025-02-15,sprint-1-5,DONE,THEORY,Research,22130001,20130196,Khảo sát yếu tố rủi ro - Phân tích ảnh hưởng,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,5,98bd604b-6e23-40cd-8121-bfeaf65b42e8,22130001,
Tìm kiếm và lựa chọn Dataset Y tế,MAJOR,<html>Tìm kiếm các bộ dữ liệu y tế công khai về bệnh tim (ví dụ: Cleveland Heart Disease Dataset) để sử dụng cho dự án.</html>,2025-02-12,2025-02-17,sprint-1-5,DONE,PRACTICE,Research,20130196,21130004,Xác định nguồn dataset - Đánh giá tính sẵn có,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,5,98bd604b-6e23-40cd-8121-bfeaf65b42e8,22130001,
Thiết lập môi trường cho phân tích dữ liệu y tế,MINOR,"<html>Cài đặt Python, Pandas, Scikit-learn và Matplotlib để tiền xử lý và phân tích dữ liệu.</html>",2025-02-09,2025-02-12,sprint-1-5,DONE,PRACTICE,Python,21130004,22130001,Cài đặt thư viện - Chuẩn bị môi trường,LOW,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,5,98bd604b-6e23-40cd-8121-bfeaf65b42e8,22130001,
Tiền xử lý dữ liệu y tế,MAJOR,"<html>Xử lý dữ liệu thiếu, chuyển đổi các biến phân loại sang định dạng số, và chuẩn hóa dữ liệu số.</html>",2025-02-20,2025-02-28,sprint-2-5,INPROCESS,PRACTICE,Python,22130001,20130196,Xử lý missing values - Mã hóa categorical data,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,5,98bd604b-6e23-40cd-8121-bfeaf65b42e8,22130001,
Phân tích thống kê mô tả dataset,MAJOR,"<html>Thực hiện thống kê mô tả về các đặc trưng y tế, mối quan hệ giữa các đặc trưng và biến mục tiêu (bệnh tim).</html>",2025-02-25,2025-03-03,sprint-2-5,INPROCESS,PRACTICE,Python,20130196,21130004,Biểu đồ phân bố - Phân tích tương quan,MEDIUM,2,bc3884ae-e246-4001-857c-b2ddd16ec442,5,98bd604b-6e23-40cd-8121-bfeaf65b42e8,22130001,
Lựa chọn đặc trưng và chia tách Dataset,MAJOR,"<html>Áp dụng các kỹ thuật lựa chọn đặc trưng (Feature Selection) nếu cần và chia dataset thành tập huấn luyện, kiểm tra.</html>",2025-02-28,2025-03-05,sprint-2-5,INPROCESS,PRACTICE,Python,21130004,22130001,Feature selection - Train/Test split,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,5,98bd604b-6e23-40cd-8121-bfeaf65b42e8,22130001,
